id_election;annee;type_election;tour;code_departement;libelle_departement;code_commune;libelle_commune;inscrits;abstentions;votants;nuls;exprimes;taux_participation;taux_abstention;taux_nuls_inscrits;taux_exprimes_inscrits
2014_euro_t1;2014;euro;1;69;Rhône;69151;Le Perréon;1015;528;487;19;468;47.98;52.02;1.87;46.11
2014_euro_t1;2014;euro;1;69;Rhône;69152;Pierre-Bénite;6273;4157;2116;52;2064;33.73;66.27;0.83;32.9
2014_euro_t1;2014;euro;1;69;Rhône;69153;Poleymieux-Au-Mont-D'Or;757;343;414;7;407;54.69;45.31;0.92;53.76
2014_euro_t1;2014;euro;1;69;Rhône;69154;Pollionnay;1322;702;620;20;600;46.9;53.1;1.51;45.39
2014_euro_t1;2014;euro;1;69;Rhône;69155;Pomeys;824;443;381;13;368;46.24;53.76;1.58;44.66
2014_euro_t1;2014;euro;1;69;Rhône;69156;Pommiers;1780;862;918;23;895;51.57;48.43;1.29;50.28
2014_euro_t1;2014;euro;1;69;Rhône;69157;Pontcharra-Sur-Turdine;1963;1261;702;20;682;35.76;64.24;1.02;34.74
2014_euro_t1;2014;euro;1;69;Rhône;69158;Pont-Trambouze;321;176;145;6;139;45.17;54.83;1.87;43.3
2014_euro_t1;2014;euro;1;69;Rhône;69159;Pouilly-Le-Monial;668;326;342;12;330;51.2;48.8;1.8;49.4
2014_euro_t1;2014;euro;1;69;Rhône;69160;Poule-Les-Echarmeaux;827;441;386;28;358;46.67;53.33;3.39;43.29
2014_euro_t1;2014;euro;1;69;Rhône;69161;Propières;399;235;164;6;158;41.1;58.9;1.5;39.6
2014_euro_t1;2014;euro;1;69;Rhône;69162;Quincié-En-Beaujolais;1006;595;411;22;389;40.85;59.15;2.19;38.67
2014_euro_t1;2014;euro;1;69;Rhône;69163;Quincieux;2350;1346;1004;30;974;42.72;57.28;1.28;41.45
2014_euro_t1;2014;euro;1;69;Rhône;69164;Ranchal;268;122;146;10;136;54.48;45.52;3.73;50.75
2014_euro_t1;2014;euro;1;69;Rhône;69165;Régnié-Durette;821;466;355;18;337;43.24;56.76;2.19;41.05
2014_euro_t1;2014;euro;1;69;Rhône;69166;Riverie;199;95;104;4;100;52.26;47.74;2.01;50.25
2014_euro_t1;2014;euro;1;69;Rhône;69167;Rivolet;404;199;205;10;195;50.74;49.26;2.48;48.27
2014_euro_t1;2014;euro;1;69;Rhône;69168;Rochetaillée-Sur-Saône;881;448;433;7;426;49.15;50.85;0.79;48.35
2014_euro_t1;2014;euro;1;69;Rhône;69169;Ronno;514;282;232;16;216;45.14;54.86;3.11;42.02
2014_euro_t1;2014;euro;1;69;Rhône;69170;Rontalon;877;444;433;20;413;49.37;50.63;2.28;47.09
2014_euro_t1;2014;euro;1;69;Rhône;69171;Sain-Bel;1620;1007;613;33;580;37.84;62.16;2.04;35.8
2014_euro_t1;2014;euro;1;69;Rhône;69172;Salles-Arbuissonnas-En-Beaujolais;561;257;304;18;286;54.19;45.81;3.21;50.98
2014_euro_t1;2014;euro;1;69;Rhône;69173;Sarcey;714;349;365;22;343;51.12;48.88;3.08;48.04
2014_euro_t1;2014;euro;1;69;Rhône;69174;Les Sauvages;440;253;187;6;181;42.5;57.5;1.36;41.14
2014_euro_t1;2014;euro;1;69;Rhône;69175;Savigny;1462;732;730;27;703;49.93;50.07;1.85;48.08
2014_euro_t1;2014;euro;1;69;Rhône;69176;Soucieu-En-Jarrest;2983;1643;1340;33;1307;44.92;55.08;1.11;43.81
2014_euro_t1;2014;euro;1;69;Rhône;69177;Sourcieux-Les-Mines;1417;762;655;18;637;46.22;53.78;1.27;44.95
2014_euro_t1;2014;euro;1;69;Rhône;69178;Souzy;509;274;235;12;223;46.17;53.83;2.36;43.81
2014_euro_t1;2014;euro;1;69;Rhône;69179;Saint-Andéol-Le-Château;1134;605;529;24;505;46.65;53.35;2.12;44.53
2014_euro_t1;2014;euro;1;69;Rhône;69180;Saint-André-La-Côte;209;96;113;4;109;54.07;45.93;1.91;52.15
