code_commune;actifs_2022;chomeurs_2022;actifs_occupes_2022;inactifs_2022;taux_chomage_2022
69245;368.980849757564;20.9966078555709;347.984241901993;94.9682306823384;5.69
69246;645.289369674945;21.8097004189643;623.479669255981;133.709704286375;3.38
69248;2455.0;269.0;2186.0;889.0;10.96
69249;1787.56431678421;84.4515439278157;1703.1127728564;326.927578985676;4.72
69250;2036.93939551861;110.81528162716;1926.12411389145;553.708730620821;5.44
69252;380.356425025592;16.8657203226673;363.490704702924;78.0208025697135;4.43
69253;352.601433778036;12.0261962842967;340.57523749374;71.1643516942406;3.41
69254;513.338427352232;29.4023291641531;483.936098188079;106.993305078738;5.73
69255;2941.28629974138;134.962363944991;2806.32393579639;706.148294722293;4.59
69256;22257.1602318951;4396.42541320445;17860.7348186907;10589.5277728823;19.75
69257;618.0;32.0;586.0;118.0;5.18
69258;152.0;5.0;147.0;28.0;3.29
69259;27902.8772896911;5506.32065426992;22396.5566354212;13706.1811530776;19.73
69260;2386.57149895059;199.762168640236;2186.80933031036;728.961747064297;8.37
69261;44.8664832330063;2.13880279287378;42.7276804401326;11.6657893003452;4.77
69263;463.659280734487;19.6672381851332;443.992042549354;107.302936271321;4.24
69264;16156.1407086573;2455.76359956309;13700.3771090943;6128.77343731574;15.2
69265;409.553139421047;12.8667207581893;396.686418662858;100.166260462198;3.14
69266;82457.6138151372;10974.1299741864;71483.4838409508;30583.5387231921;13.31
69267;1038.32843040066;50.9298437026879;987.398586697969;244.656789964152;4.9
69268;1572.80780798219;93.6380773611625;1479.16973062103;429.644937050584;5.95
69269;497.794835182626;24.9412796100648;472.853555572561;150.174568420307;5.01
69270;2140.0;96.0;2044.0;530.0;4.49
69271;5344.09727253118;486.674572451973;4857.42270007921;1500.23553718246;9.11
69272;2129.61659853809;118.503085285653;2011.11351325243;584.48200668431;5.56
69273;4844.6890887973;489.477987328166;4355.21110146913;2234.91103659828;10.1
69275;14198.9134146978;1836.4400674582;12362.4733472396;4507.45129822782;12.93
69276;4446.9220720132;599.252382683201;3847.66968933;1613.57000888019;13.48
69277;6416.99100550171;383.140198766581;6033.85080673513;1816.71514440137;5.97
69278;2707.41803790812;238.44095317666;2468.97708473146;746.013208495687;8.81
69279;2975.91626627673;197.531459179173;2778.38480709755;882.061346328752;6.64
69280;822.36521444707;57.8499428851812;764.515271561889;149.625313141832;7.03
69281;950.0;52.0;898.0;277.0;5.47
69282;17103.8220744991;1885.71861291356;15218.1034615856;5208.89543970529;11.03
69283;6446.76377011849;631.568418647812;5815.19535147068;1983.20989041126;9.8
69284;1582.87419962118;92.2636178555348;1490.61058176565;510.671163163309;5.83
69285;2056.15015920371;134.893056073011;1921.2571031307;507.790524233236;6.56
69286;13089.2479568688;2040.69762152396;11048.5503353449;5656.64471201479;15.59
69287;3375.62642874035;267.051503068504;3108.57492567185;974.064064188558;7.91
69288;2756.99154504318;174.263695405317;2582.72784963786;789.695776477245;6.32
69289;2271.49332304415;136.577797972988;2134.91552507117;601.490046363107;6.01
69290;23115.2834115395;2849.25900958407;20266.0244019554;7745.69667155296;12.33
69291;3061.68049428353;206.051332482382;2855.62916180115;735.087162446934;6.73
69292;3851.0;300.0;3551.0;804.0;7.79
69293;1157.47340514848;62.2235380034641;1095.24986714502;304.140283169756;5.38
69294;1534.2623882875;81.1075952873697;1453.15479300013;325.268999041469;5.29
69295;947.278896593116;48.6962252836148;898.582671309501;258.257732362164;5.14
69296;1511.0;72.0;1439.0;393.0;4.77
69297;2627.11678500192;221.290102354665;2405.82668264725;734.170266439931;8.42
69298;1605.47833954364;67.4216363865217;1538.05670315712;372.366409432972;4.2
69299;1452.26599425551;91.6347189757938;1360.63127527971;441.298558576303;6.31
69381;16875.9456385707;2114.81679746111;14761.1288411096;4896.82968305557;12.53
69382;15293.6404909594;1563.98424713009;13729.6562438293;6338.9131777717;10.23
69383;56615.1051485541;5915.72153991216;50699.383608642;16701.3417806745;10.45
69384;18241.7808987318;1754.35826018849;16487.4226385433;4740.30839347503;9.62
69385;22586.6749175939;2544.05692848713;20042.6179891068;8685.18886484203;11.26
69386;25810.1374979167;2163.24995426281;23646.8875436539;8333.80147340212;8.38
69387;48820.68297634;5287.1881429783;43533.4948333617;16724.750606687;10.83
69388;42292.6395828631;5793.93227099952;36498.7073118636;16894.9626248044;13.7
69389;27233.5458314837;3348.67492293724;23884.8709085464;8894.26099716744;12.3
