code_commune;population_2022;population_2016;nb_logements_2022;nb_logements_2016;nb_residences_principales_2022;nb_residences_principales_2016;nb_logements_vacants_2022;nb_logements_vacants_2016;superficie_km2;densite_2022;densite_2016
69132;855;852;387.146940069232;377.462921134696;332.280691375397;327.97235509696;33.2795278962605;26.2008879023307;14.65;58.36;58.16
69133;4323;4341;2003.81747266873;1834.88453159039;1844.08011163347;1717.99999999998;146.42591428232;89.6786492374728;9.22;468.87;470.82
69134;243;201;119.574977164198;106.250448671931;96.3436123348018;80.8040201005025;10.5597112860892;11.1964285714286;2.03;119.7;99.01
69135;1923;1904;1271.14568885486;1241.79790251391;846.432960487728;830.070659809764;176.963636819636;191.964544259362;83.6;23.0;22.78
69136;3212;2892;1321.02679104775;1219.71059193041;1235.5940141487;1091.99999977028;71.1939807492039;118.515429524604;8.3;386.99;348.43
69137;530;491;215.583884136053;196.300803247277;184.335955374563;168.539089726527;16.1279632317368;16.1197046249514;4.24;125.0;115.8
69138;447;457;230.0;228.0;182.0;177.0;16.0;18.0;10.99;40.67;41.58
69139;1393;1392;741.0;728.0;626.0;603.0;77.0;77.0;23.1;60.3;60.26
69140;2267;1975;985.0;835.0;914.0;759.0;55.0;48.0;9.25;245.08;213.51
69141;6261;5725;2898.89969396542;2558.96235482574;2718.93327433684;2368.99999999995;142.34632061018;154.668802563076;15.76;397.27;363.26
69142;6554;6320;3720.85342421666;3462.53605015675;3213.37467820179;2922.00000000001;441.285866099892;494.404958677686;1.82;3601.1;3472.53
69143;7807;7435;4275.0;3764.0;3803.0;3431.0;423.0;304.0;5.47;1427.24;1359.23
69145;943;930;452.881504509582;424.325678469291;377.384188402013;371.999999972423;52.0319340741354;31.1941544885177;9.02;104.55;103.1
69148;2633;2408;1161.12160552024;1029.47986984737;1065.1694903876;947.824065366721;73.4327411729371;62.8843551747548;10.42;252.69;231.09
69149;37928;37005;19574.9425150741;18573.0148613329;17853.8858437911;16831.688470807;1400.80171407707;1424.42323176806;8.88;4271.17;4167.23
69151;1496;1566;680.606436678674;664.326560179754;601.128764148227;588.999999947534;46.871447902571;40.1741654571843;14.58;102.61;107.41
69153;1394;1297;459.777131419629;428.910344827587;422.385182267087;390.000000000001;23.2436440677965;22.9471264367816;6.21;224.48;208.86
69154;2966;2512;1204.38002125924;971.967743463448;1107.28837249697;889.830804453091;72.342797116985;42.4846236260466;15.8;187.72;158.99
69155;1133;1145;488.0;470.0;449.0;433.0;23.0;21.0;13.1;86.49;87.4
69156;2629;2605;1159.0;1084.0;1068.0;996.0;50.0;44.0;7.76;338.79;335.7
69157;5283;5095;2436.0;2275.04297991765;2223.0;2037.99999997495;160.0;165.63323782235;23.87;221.32;213.45
69160;1027;1099;659.141637921621;628.541916165144;453.85003052475;446.999999997479;77.1095305832151;58.1736526946108;31.23;32.89;35.19
69161;477;450;364.099435360679;368.393442622837;248.089664471191;223.999999999886;32.0026954177898;49.1338797814208;16.0;29.81;28.12
69162;1382;1322;750.651499950449;712.20005016303;606.611779508097;574.955605718586;68.4944125180416;67.1621749408983;22.05;62.68;59.95
69163;3620;3453;1514.04382305784;1413.01911166101;1417.27338652895;1333.5724137931;75.8768195510605;64.8544472391141;17.72;204.29;194.86
69164;311;317;292.0777190828;288.115987460815;146.224465300849;140.115987460815;34.4375738096273;40.0;15.14;20.54;20.94
69165;1159;1114;550.0;538.0;474.0;434.0;47.0;67.0;11.72;98.89;95.05
69166;307;316;146.308298954598;144.731033676805;112.308298954598;107.397700343472;13.3939393939394;13.4814814814815;0.42;730.95;752.38
69167;588;578;260.0;253.0;239.0;220.0;17.0;25.0;16.3;36.07;35.46
