code_commune;libelle_commune;annee;total_delits
69172;Salles-Arbuissonnas-en-Beaujolais;2017;0.0
69172;Salles-Arbuissonnas-en-Beaujolais;2022;0.0
69172;Salles-Arbuissonnas-en-Beaujolais;2024;0.0
69173;Sarcey;2017;0.0
69173;Sarcey;2022;8.0
69173;Sarcey;2024;18.0
69174;Les Sauvages;2017;0.0
69174;Les Sauvages;2022;0.0
69174;Les Sauvages;2024;0.0
69175;Savigny;2017;20.0
69175;Savigny;2022;16.0
69175;Savigny;2024;26.0
69176;Soucieu-en-Jarrest;2017;57.0
69176;Soucieu-en-Jarrest;2022;95.0
69176;Soucieu-en-Jarrest;2024;105.0
69177;Sourcieux-les-Mines;2017;8.0
69177;Sourcieux-les-Mines;2022;17.0
69177;Sourcieux-les-Mines;2024;15.0
69178;Souzy;2017;0.0
69178;Souzy;2022;0.0
69178;Souzy;2024;0.0
69179;Beauvallon;2017;101.0
69179;Beauvallon;2022;93.0
69179;Beauvallon;2024;105.0
69180;Saint-André-la-Côte;2017;0.0
69180;Saint-André-la-Côte;2022;0.0
69180;Saint-André-la-Côte;2024;0.0
69181;Saint-Appolinaire;2017;0.0
69181;Saint-Appolinaire;2022;0.0
69181;Saint-Appolinaire;2024;0.0
69182;Saint-Bonnet-des-Bruyères;2017;0.0
69182;Saint-Bonnet-des-Bruyères;2022;0.0
69182;Saint-Bonnet-des-Bruyères;2024;0.0
69183;Saint-Bonnet-le-Troncy;2017;0.0
69183;Saint-Bonnet-le-Troncy;2022;0.0
69183;Saint-Bonnet-le-Troncy;2024;0.0
69184;Sainte-Catherine;2017;0.0
69184;Sainte-Catherine;2022;0.0
69184;Sainte-Catherine;2024;0.0
69186;Saint-Clément-de-Vers;2017;0.0
69186;Saint-Clément-de-Vers;2022;0.0
69186;Saint-Clément-de-Vers;2024;0.0
69187;Saint-Clément-les-Places;2017;0.0
69187;Saint-Clément-les-Places;2022;0.0
69187;Saint-Clément-les-Places;2024;0.0
69188;Saint-Clément-sur-Valsonne;2017;0.0
69188;Saint-Clément-sur-Valsonne;2022;0.0
69188;Saint-Clément-sur-Valsonne;2024;0.0
69189;Sainte-Colombe;2017;86.0
69189;Sainte-Colombe;2022;53.0
69189;Sainte-Colombe;2024;51.0
69190;Sainte-Consorce;2017;34.0
69190;Sainte-Consorce;2022;30.0
69190;Sainte-Consorce;2024;30.0
69191;Saint-Cyr-au-Mont-d'Or;2017;177.0
69191;Saint-Cyr-au-Mont-d'Or;2022;232.0
69191;Saint-Cyr-au-Mont-d'Or;2024;283.0
69192;Saint-Cyr-le-Chatoux;2017;0.0
69192;Saint-Cyr-le-Chatoux;2022;0.0
