code_commune;revenu_median_2021;d1_revenu_2021;d9_revenu_2021;ratio_interdecile_2021;part_chomeurs_2021;part_foyers_imposes_2021;nb_menages_2021;nb_personnes_menages_2021
69236;24150.0;15500.0;45225.0;3.05;2.6;-18.35;227.0;561.0
69238;21800.0;13130.0;34400.0;2.6;2.2;-12.2;1678.0;3593.0
69239;25940.0;15500.0;45225.0;3.05;2.6;-18.35;487.0;1194.0
69240;21280.0;15500.0;45225.0;3.05;2.6;-18.35;303.0;617.0
69241;28720.0;16860.0;46650.0;2.8;2.6;-19.5;1024.0;2608.0
69242;23880.0;15500.0;45225.0;3.05;2.6;-18.35;355.0;928.0
69243;19730.0;10570.0;31770.0;3.0;3.3;-12.4;4651.0;9956.0
69244;29010.0;14760.0;54650.0;3.7;2.6;-21.9;9944.0;21170.0
69245;25830.0;15500.0;45225.0;3.05;2.6;-18.35;304.0;756.0
69246;27890.0;15500.0;45225.0;3.05;2.6;-18.35;505.0;1304.0
69248;21160.0;11550.0;33190.0;2.9;2.7;-12.5;2463.0;5381.0
69249;26100.0;15610.0;41950.0;2.7;2.4;-16.9;1322.0;3220.0
69250;33530.0;18390.0;56560.0;3.1;2.4;-22.0;1861.0;4576.0
69252;25940.0;15500.0;45225.0;3.05;2.6;-18.35;276.0;714.0
69253;27690.0;15500.0;45225.0;3.05;2.6;-18.35;246.0;648.0
69254;22710.0;15500.0;45225.0;3.05;2.6;-18.35;376.0;936.0
69255;26950.0;15490.0;44370.0;2.9;2.5;-16.7;2336.0;5907.0
69256;17180.0;9230.0;29460.0;3.2;4.5;-11.2;17520.0;46087.0
69257;24940.0;15500.0;45225.0;3.05;2.6;-18.35;412.0;989.0
69258;23900.0;15500.0;45225.0;3.05;2.6;-18.35;136.0;293.0
69259;17140.0;9260.0;29730.0;3.2;4.5;-11.3;25157.0;62836.0
69260;27760.0;13150.0;49590.0;3.8;3.1;-19.2;1973.0;4967.0
69261;25650.0;15500.0;45225.0;3.05;2.6;-18.35;798.0;1898.0
69263;22900.0;15500.0;45225.0;3.05;2.6;-18.35;370.0;892.0
69264;19640.0;10490.0;34030.0;3.2;3.8;-13.6;16443.0;33931.0
69265;29320.0;15500.0;45225.0;3.05;2.6;-18.35;332.0;860.0
69266;21540.0;10580.0;38150.0;3.6;3.7;-15.7;69635.0;142271.0
69267;24700.0;15500.0;45225.0;3.05;2.6;-18.35;843.0;1982.0
69268;32340.0;17240.0;61900.0;3.6;2.5;-23.0;1392.0;3472.0
69269;25190.0;15500.0;45225.0;3.05;2.6;-18.35;408.0;918.0
69270;31360.0;18860.0;56250.0;3.0;1.9;-20.8;1699.0;4359.0
69271;28750.0;15030.0;49930.0;3.3;2.1;-20.5;4349.0;10776.0
69272;28770.0;16440.0;47390.0;2.9;2.5;-18.3;1790.0;4619.0
69273;25250.0;14590.0;39240.0;2.7;2.8;-16.9;4045.0;10135.0
69275;22050.0;11590.0;36430.0;3.1;3.2;-14.9;12050.0;28222.0
69276;22210.0;11800.0;36000.0;3.1;3.4;-12.9;3937.0;10060.0
69277;30610.0;17300.0;52910.0;3.1;2.5;-20.4;5364.0;13783.0
69278;26920.0;14820.0;45570.0;3.1;2.6;-17.8;2192.0;5305.0
69279;28030.0;17360.0;44270.0;2.6;2.2;-17.9;2284.0;6069.0
69280;27110.0;15500.0;45225.0;3.05;2.6;-18.35;553.0;1547.0
69281;29440.0;15500.0;45225.0;3.05;2.6;-18.35;753.0;1907.0
69282;23860.0;12750.0;39780.0;3.1;3.0;-16.3;13752.0;34420.0
69283;26070.0;14480.0;40960.0;2.8;2.6;-16.2;5299.0;14067.0
69284;33600.0;20290.0;54160.0;2.7;1.9;-22.2;1241.0;3302.0
69285;27420.0;16300.0;44020.0;2.7;2.8;-18.9;1488.0;4085.0
69286;19980.0;10560.0;38300.0;3.6;3.6;-15.5;11930.0;29765.0
69287;28700.0;17600.0;47820.0;2.7;2.5;-18.6;2568.0;6829.0
69288;27380.0;16580.0;44880.0;2.7;2.6;-17.6;2362.0;5836.0
69289;28430.0;17360.0;44210.0;2.5;2.5;-19.2;1833.0;4778.0
69290;21420.0;11380.0;35640.0;3.1;3.5;-14.5;20081.0;49800.0
69291;26560.0;15730.0;41980.0;2.7;2.4;-17.1;2416.0;5777.0
69292;24460.0;13600.0;37880.0;2.8;3.0;-15.7;2905.0;6381.0
69293;33220.0;19350.0;60350.0;3.1;2.2;-22.9;882.0;2353.0
69294;26360.0;15960.0;41630.0;2.6;2.8;-16.8;1264.0;3090.0
69295;28190.0;15500.0;45225.0;3.05;2.6;-18.35;770.0;1892.0
69296;29430.0;18470.0;48750.0;2.6;2.0;-18.8;1228.0;3185.0
69297;27400.0;14910.0;45840.0;3.1;2.4;-18.1;2200.0;5745.0
69298;29590.0;18400.0;46510.0;2.5;2.2;-19.3;1152.0;3090.0
69299;27000.0;17520.0;42670.0;2.4;2.4;-16.7;1003.0;2621.0
69381;25980.0;11650.0;51950.0;4.5;5.0;-20.8;13351.0;24322.0
69382;28920.0;12750.0;62620.0;4.9;2.8;-24.4;13488.0;25938.0
69383;26920.0;12180.0;50250.0;4.1;3.2;-20.9;45329.0;87418.0
69384;28240.0;13630.0;53100.0;3.9;3.7;-21.9;17101.0;34260.0
69385;26130.0;12650.0;49970.0;3.9;3.3;-20.4;19737.0;39710.0
69386;33050.0;14510.0;68400.0;4.7;2.4;-26.6;23765.0;47120.0
69387;24410.0;11450.0;43490.0;3.8;3.8;-18.2;37187.0;69839.0
69388;21100.0;10340.0;39800.0;3.8;3.6;-16.3;36868.0;74628.0
69389;21650.0;10680.0;39600.0;3.7;4.1;-16.6;23215.0;48454.0
