code_commune;revenu_median_2017;taux_pauvrete_2017;part_chomeurs_2017;part_foyers_imposes_2017;d1_revenu_2017;d9_revenu_2017;ratio_interdecile_2017
69187;21500.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69188;21720.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69189;22530.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69190;28150.0;9.45;2.4;72.0;16000.0;50020.0;3.1
69191;37330.0;6.0;2.0;77.0;15630.0;86200.0;5.5
69192;24170.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69193;29360.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69194;38160.0;5.0;2.1;80.0;17500.0;91660.0;5.2
69196;21650.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69197;22790.0;9.45;2.1;55.0;14180.0;35760.0;2.5
69198;24320.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69199;15600.0;32.0;5.1;33.0;8970.0;25910.0;2.9
69200;22760.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69201;19120.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69202;26450.0;7.0;2.6;68.0;13910.0;54630.0;3.9
69203;22100.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69204;25060.0;9.0;2.3;65.0;13120.0;45130.0;3.4
69205;28380.0;5.0;2.4;74.0;15670.0;47250.0;3.0
69206;23010.0;7.0;2.9;59.0;14130.0;38530.0;2.7
69207;24630.0;8.0;2.9;61.0;13400.0;43620.0;3.3
69208;26550.0;9.45;2.7;70.0;16930.0;43480.0;2.6
69209;20550.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69212;26500.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69214;21220.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69215;25200.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69216;21720.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69217;20270.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69218;22480.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69219;26470.0;9.45;2.6;71.0;16600.0;45190.0;2.7
69220;21960.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69225;22690.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69227;22050.0;10.0;2.2;49.0;12900.0;34840.0;2.7
69228;23790.0;8.0;3.0;61.0;13900.0;39430.0;2.8
69229;21600.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69230;21770.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69231;25010.0;9.45;2.8;64.0;15460.0;38440.0;2.5
69233;32770.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69234;23820.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69235;23110.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69236;21930.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69238;19710.0;12.0;3.0;41.0;12310.0;31470.0;2.6
69239;22770.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69240;19960.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69241;26190.0;9.45;2.2;69.0;16140.0;42910.0;2.7
69242;22320.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69243;18010.0;20.0;3.5;37.0;10440.0;28940.0;2.8
69244;26300.0;8.0;2.9;69.0;13850.0;50250.0;3.6
69245;24710.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69246;25500.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69248;19560.0;15.0;3.1;43.0;11080.0;31380.0;2.8
69249;23860.0;7.0;1.9;62.0;14570.0;39280.0;2.7
69250;31290.0;9.45;2.3;74.0;17330.0;54600.0;3.2
69252;23460.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69253;25500.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69254;19730.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69255;25050.0;6.0;2.7;65.0;15030.0;42230.0;2.8
69256;15520.0;33.0;5.2;32.0;8950.0;26430.0;3.0
69257;22850.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69258;20400.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69259;15920.0;31.0;4.6;37.0;8980.0;27630.0;3.1
69260;24970.0;12.0;2.9;64.0;11980.0;45020.0;3.8
69261;23390.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69263;20860.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69264;18020.0;23.0;4.1;44.0;9780.0;31750.0;3.2
69265;26270.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69266;19790.0;19.0;3.8;52.0;10200.0;35430.0;3.5
69267;23100.0;9.45;1.8;51.0;12880.0;36630.0;2.8
69268;29860.0;9.45;2.4;74.0;15880.0;55420.0;3.5
69269;22120.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69270;28510.0;9.45;2.1;75.0;17720.0;50080.0;2.8
69271;26990.0;6.0;2.3;69.0;14470.0;47140.0;3.3
69272;26780.0;5.0;2.2;70.0;15450.0;44200.0;2.9
69273;23380.0;7.0;2.6;63.0;14090.0;35890.0;2.5
69275;20230.0;16.0;3.6;52.0;10990.0;33690.0;3.1
69276;20680.0;13.0;3.7;53.0;11650.0;32890.0;2.8
69277;28710.0;5.0;2.3;74.0;16570.0;48940.0;3.0
69278;24500.0;9.0;2.9;62.0;13160.0;41810.0;3.2
69279;25650.0;5.0;2.3;67.0;15570.0;40470.0;2.6
69280;24370.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69281;26830.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69282;22090.0;12.0;3.0;57.0;12110.0;37020.0;3.1
69283;23630.0;8.0;2.8;62.0;13620.0;37480.0;2.8
69284;30380.0;9.45;2.8;76.0;17310.0;50740.0;2.9
69285;24090.0;6.0;3.0;64.0;14480.0;39410.0;2.7
69286;18200.0;23.0;3.7;45.0;9980.0;35390.0;3.5
69287;26440.0;5.0;2.7;72.0;16340.0;42520.0;2.6
69288;25330.0;6.0;2.7;69.0;15240.0;40890.0;2.7
69289;26020.0;9.45;2.8;70.0;15640.0;42540.0;2.7
69290;19640.0;17.0;3.8;50.0;10720.0;33030.0;3.1
69291;24410.0;6.0;2.8;64.0;14600.0;38660.0;2.6
69292;22200.0;9.0;2.8;59.0;13060.0;35640.0;2.7
69293;30860.0;9.45;2.1;79.0;17720.0;52850.0;3.0
69294;25280.0;9.45;2.5;67.0;15330.0;40160.0;2.6
69295;26150.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69296;26910.0;9.45;2.4;71.0;15280.0;45020.0;2.9
69297;25430.0;8.0;2.4;66.0;14230.0;41570.0;2.9
69298;26950.0;9.45;2.4;73.0;17200.0;41370.0;2.4
69299;24720.0;9.45;3.2;65.0;15660.0;37990.0;2.4
69381;23490.0;14.4;5.0;59.3;11040.0;46600.0;4.2
69382;26690.0;10.9;2.9;65.2;12290.0;57950.0;4.7
69383;24610.0;12.9;3.1;64.1;11510.0;46780.0;4.1
69384;25600.0;9.9;3.7;65.2;12710.0;49770.0;3.9
69385;23740.0;12.6;3.2;61.9;11680.0;46410.0;4.0
69386;30370.0;8.6;2.7;71.1;13500.0;63780.0;4.7
69387;22320.0;14.9;3.8;58.9;11020.0;39530.0;3.6
69388;19390.0;21.0;3.6;50.5;10050.0;36780.0;3.7
69389;19650.0;20.7;4.1;52.0;10220.0;36360.0;3.6
