id_election;annee;type_election;code_commune;libelle_commune;famille_gagnante;euro_centre_ratio;euro_divers_ratio;euro_droite_ratio;euro_extreme_droite_ratio;euro_extreme_gauche_ratio;euro_gauche_ratio;euro_gauche_radicale_ratio;euro_famille_gagnante;euro_taux_participation;euro_droite_souverainiste_ratio;euro_ecologie_ratio;population;nb_logements;nb_residences_principales;nb_logements_vacants;densite;superficie_km2;actifs_2022;chomeurs_2022;actifs_occupes_2022;inactifs_2022;taux_chomage_2022;revenu_median;taux_pauvrete;part_chomeurs;part_foyers_imposes;d1_revenu;d9_revenu;ratio_interdecile;nb_immigres;nb_non_immigres;total_delits;nb_menages;nb_personnes_menages
2017_legi_t1;2017;legi;69050;Châtillon;Centre;10.03;3.34;28.42;36.02;1.06;16.26;4.86;Extreme droite;44.65;;;2158.0;996.138247301881;904.686292364837;64.9790206131631;201.49;10.71;1074.98788838332;59.5963768205593;1015.39151156276;251.834365188742;5.54;25960.0;9.45;2.6;66.0;14690.0;42940.0;2.9;103;2034;21.0;;
2017_legi_t1;2017;legi;69051;Chaussan;Droite;10.05;1.72;29.17;35.78;1.96;18.63;2.7;Droite;50.54;;;1117.0;473.511982570807;426.000000000001;32.3485838779956;141.57;7.89;642.919855258466;43.5339728444537;599.385882414012;128.581335799189;6.77;23480.0;9.45;2.7;65.0;14235.0;41635.0;3.0;23;1093;0.0;;
2017_legi_t1;2017;legi;69052;Chazay-D'Azergues;Centre;10.64;3.86;36.81;27.39;1.22;16.95;3.12;Droite;46.17;;;4130.0;1794.77023945271;1679.00000000003;88.1083238312429;695.29;5.94;2020.98907575567;142.410845719577;1878.5782300361;517.357431388682;7.05;28460.0;9.45;2.2;71.0;16860.0;46920.0;2.8;175;3955;88.0;;
2017_legi_t1;2017;legi;69053;Chénas;Droite;11.38;3.59;32.93;31.74;2.4;15.57;2.4;Droite;42.75;;;551.0;291.494983274473;216.999999996881;47.314381270903;67.36;8.18;274.781372637099;19.569735418002;255.211637219097;57.9273832971176;7.12;23190.0;9.45;2.7;65.0;14235.0;41635.0;3.0;19;526;0.0;;
2017_legi_t1;2017;legi;69054;Chénelette;Droite;5.52;2.76;37.24;44.14;0.0;10.34;0.0;Extreme droite;55.23;;;327.0;249.999999999999;159.999999999999;20.0;29.67;11.02;183.724715255736;4.19197277579645;179.53274247994;42.2599466835391;2.28;22110.0;9.45;2.7;65.0;14235.0;41635.0;3.0;6;315;0.0;;
2017_legi_t1;2017;legi;69055;Les Chères;Centre;9.26;2.08;40.51;35.88;0.0;9.72;2.55;Droite;45.07;;;1451.0;613.539648461815;569.215416379904;34.8935444049089;265.75;5.46;748.571771765901;51.7762438640228;696.795527901878;165.135986892205;6.92;25450.0;9.45;2.7;65.0;14235.0;41635.0;3.0;64;1389;8.0;;
2017_legi_t1;2017;legi;69056;Chessy-Les-Mines;Centre;10.79;4.05;26.01;35.26;1.16;18.69;4.05;Extreme droite;42.45;;;2056.0;819.0;770.0;38.0;451.87;4.55;1069.0;55.0;1014.0;208.0;5.14;24270.0;9.45;2.3;65.0;15520.0;36660.0;2.4;110;1953;5.0;;
2017_legi_t1;2017;legi;69057;Chevinay;Droite;6.09;6.09;27.39;36.52;0.43;13.91;9.57;Extreme droite;58.74;;;545.0;265.277372262772;226.999999999998;19.1386861313869;61.79;8.82;294.023921665531;17.1014631036348;276.922458561896;61.4102589063073;5.82;25280.0;9.45;2.7;65.0;14235.0;41635.0;3.0;16;541;0.0;;
2017_legi_t1;2017;legi;69058;Chiroubles;Droite;13.18;2.33;33.33;27.13;0.78;17.83;5.43;Droite;46.43;;;401.0;231.281502497143;177.424552429667;28.3457631934086;54.78;7.32;216.52901949448;6.74964305149714;209.779376442983;39.4356848639749;3.12;20650.0;9.45;2.7;65.0;14235.0;41635.0;3.0;6;385;0.0;;
2017_legi_t1;2017;legi;69059;Civrieux-D'Azergues;Centre;10.02;1.7;40.08;30.62;0.57;13.42;3.59;Droite;50.61;;;1520.0;654.511722112055;599.971711513221;40.4651691539737;302.79;5.02;850.204503919849;54.6354388655722;795.569065054277;180.282717605306;6.43;26040.0;9.45;2.7;65.0;14235.0;41635.0;3.0;76;1439;40.0;;
